Titulo,Estado,Valoracion,Precio,Tipo_de_Vendedor
IPHONE X RICONDIZIONATO BUONO 64-256GB APPLE USATO RIGENERATO,Bueno (Restaurado),Sin informacion,S/. 1 047.60,Vendedor Excelente
Apple iPhone X - 64GB - Grigio Siderale (Sbloccato),De segunda mano,Sin informacion,S/. 679.25,Sin informacion
Apple iPhone X 256GB Space Gray AT&T Good Condition,Bueno (Restaurado),201 valoraciones del artículo - Apple iPhone X 256GB Space Gray AT&T Good Condition,S/. 1 048.21,Vendedor Excelente
Apple iPhone X - 64GB - Space Gray (Unlocked) A1865 (CDMA + GSM),De segunda mano,319 valoraciones del artículo - Apple iPhone X - 64GB - Space Gray (Unlocked) A1865 (CDMA + GSM),S/. 471.71,Sin informacion
Apple iPhone X 64GB Space Gray Unlocked Very Good Condition,Muy bueno (Restaurado),319 valoraciones del artículo - Apple iPhone X 64GB Space Gray Unlocked Very Good Condition,S/. 1 048.21,Vendedor Excelente
New Apple iPhone 7 32GB Black Grade A Plus Pristine Condition Unlocked-Apple Box,Nuevo (otro),20 valoraciones del artículo - New Apple iPhone 7 32GB Black Grade A Plus Pristine Condition Unlocked-Apple Box,S/. 538.98,Sin informacion
New Unlocked Apple iPhone X 10 64GB 256GB Black White Au Seller FREE EXPRESS ,Nuevo (otro),Sin informacion,S/. 1 150.71 a S/. 1 255.55,Vendedor Excelente
IPHONE X MOLTO BUONO 64-GB,De segunda mano,Sin informacion,S/. 621.03,Sin informacion
Apple iPhone 8 - 64GB - Gold (Unlocked) A1863 (CDMA + GSM) (AU Stock),De segunda mano,41 valoraciones del artículo - Apple iPhone 8 - 64GB - Gold (Unlocked) A1863 (CDMA + GSM) (AU Stock),S/. 342.07,Sin informacion
IPHONE X RICONDIZIONATO 64 256GB BUONO GRAY BIA ECONOMICO RIGENERATO NO Face ID,Bueno (Restaurado),Sin informacion,S/. 927.66 a S/. 1 082.92,Sin informacion
iphone x 64gb,De segunda mano,Sin informacion,S/. 659.84,Sin informacion
Apple iPhone 7 32GB Matte Black Unlocked Excellent Condition,Excelente (Restaurado),158 valoraciones del artículo - Apple iPhone 7 32GB Matte Black Unlocked Excellent Condition,S/. 543.50,Vendedor Excelente
Apple iPhone X - 64GB - Silver (Fully Unlocked) Good Condition,De segunda mano,21 valoraciones del artículo - Apple iPhone X - 64GB - Silver (Fully Unlocked) Good Condition,S/. 737.62,Sin informacion
Apple iPhone X 64GB | 256GB (UNLOCKED) Gray ║ Silver ,De segunda mano,30 valoraciones del artículo - Apple iPhone X 64GB | 256GB (UNLOCKED) Gray ║ Silver ,S/. 698.83 a S/. 1 265.66,Sin informacion
Apple iPhone X 256GB Silver Unlocked Excellent Condition,Excelente (Restaurado),194 valoraciones del artículo - Apple iPhone X 256GB Silver Unlocked Excellent Condition,S/. 1 230.68,Vendedor Excelente
iPhone X 64GB,De segunda mano,Sin informacion,S/. 718.06,Sin informacion
Anuncio nuevoApple iPhone 7 32GB & 128GB Grade A++ iOS 4G LTE Unlocked - Pristine Condition,Excelente (Restaurado),6 valoraciones del artículo - Apple iPhone 7 32GB & 128GB Grade A++ iOS 4G LTE Unlocked - Pristine Condition,S/. 449.52,Vendedor Excelente
Apple iPhone 8 Plus - 64GB - Silver (Unlocked),De segunda mano,21 valoraciones del artículo - Apple iPhone 8 Plus - 64GB - Silver (Unlocked),S/. 609.43,Sin informacion
IPHONE X RICONDIZIONATO 64 256GB ECCELLENTE BIANCO NERO GARANZIA RIGENERATO,Excelente (Restaurado),Sin informacion,S/. 1 203.24 a S/. 1 358.50,Sin informacion
Apple iPhone X (64gb) World Unlocked (A1901) Space Grey {iOS15}78% No Face-ID,De segunda mano,250 valoraciones del artículo - Apple iPhone X (64gb) World Unlocked (A1901) Space Grey {iOS15}78% No Face-ID,S/. 912.36,Sin informacion
Apple iPhone X/64GB/Space Gray (Sprint) Comes W Charger/ Lifeproof Case Unlocked,De segunda mano,5 valoraciones del artículo - Apple iPhone X/64GB/Space Gray (Sprint) Comes W Charger/ Lifeproof Case Unlocked,S/. 679.42,Sin informacion
Apple iPhone 12 Pro Max 128/256/512 AT&T Sprint T-Mobile Unlocked VZW Excellent,Excelente (Restaurado),2 valoraciones del artículo - Apple iPhone 12 Pro Max 128/256/512 AT&T Sprint T-Mobile Unlocked VZW Excellent,S/. 2 678.81 a S/. 3 234.00,Vendedor Excelente
Anuncio nuevoApple iPhone XS 512GB GOLD A1920 Unlocked Excellent Condition ,De segunda mano,2 valoraciones del artículo - Apple iPhone XS 512GB GOLD A1920 Unlocked Excellent Condition ,S/. 1 552.92,Sin informacion
Apple iPhone X - 64GB - Silver (Xfinity) A1865 (CDMA + GSM),De segunda mano,7 valoraciones del artículo - Apple iPhone X - 64GB - Silver (Xfinity) A1865 (CDMA + GSM),S/. 582.36,Sin informacion
Apple iPhone X - 64GB ,Para repuestos solamente,Sin informacion,S/. 359.03,Sin informacion
New Apple iPhone X 10 64GB 256GB  Factory Unlocked Sealed AU SELLER FREE EXPRESS,Totalmente nuevo,Sin informacion,S/. 1 281.77 a S/. 1 465.25,Vendedor Excelente
Gorilla Tempered Glass Screen Protector for iPhone 11 Pro X XR XS Max 8 14 2022,Totalmente nuevo,Sin informacion,S/. 15.69 a S/. 22.43,Sin informacion
Apple iPhone X (iPhone 10) 64GB 256GB All Colours Unlocked- Excellent Grade A,Excelente (Restaurado),8 valoraciones del artículo - Apple iPhone X (iPhone 10) 64GB 256GB All Colours Unlocked- Excellent Grade A,S/. 1 123.86 a S/. 1 258.73,Sin informacion
Anuncio nuevoIphone X 64GB Silver Unlocked,De segunda mano,262 valoraciones del artículo - Iphone X 64GB Silver Unlocked,S/. 397.95,Sin informacion
Apple iPhone X 256GB Space Gray Unlocked Good Condition,Bueno (Restaurado),299 valoraciones del artículo - Apple iPhone X 256GB Space Gray Unlocked Good Condition,S/. 1 032.68,Vendedor Excelente
Apple iPhone X 256GB Space Grey Unlocked Sim Free A190 GOOD CONDITION 890,De segunda mano,260 valoraciones del artículo - Apple iPhone X 256GB Space Grey Unlocked Sim Free A190 GOOD CONDITION 890,S/. 1 033.95,Sin informacion
Apple iphone x,Para repuestos solamente,Sin informacion,S/. 174.71,Sin informacion
Apple iPhone X - 64GB - Space Grey (Unlocked) Cracked Screen,De segunda mano,450 valoraciones del artículo - Apple iPhone X - 64GB - Space Grey (Unlocked) Cracked Screen,S/. 548.47,Sin informacion
Apple iPhone X (iPhone 10) 64GB 256GB All Colours Unlocked- Excellent Grade A,Excelente (Restaurado),Sin informacion,S/. 1 258.73,Sin informacion
Apple iPhone X 64GB Factory Unlocked AT&T T-Mobile Smartphone - Good,Bueno (Restaurado),Sin informacion,S/. 924.01,Sin informacion
Apple iPhone X 256GB Space Gray Unlocked Good Condition,Bueno (Restaurado),Sin informacion,S/. 1 032.68,Sin informacion
Apple iPhone X 64GB Space Gray Unlocked Good Condition,Bueno (Restaurado),Sin informacion,S/. 970.56,Sin informacion
Apple iPhone X 64GB Silver Unlocked Good Condition,Bueno (Restaurado),Sin informacion,S/. 970.56,Sin informacion
Apple iPhone X 256GB Silver Unlocked Good Condition,Bueno (Restaurado),Sin informacion,S/. 1 032.68,Sin informacion
Apple iPhone X 64GB/256GB -All Colours- Unlocked Smartphone -Excellent -Grade A ,Excelente (Restaurado),Sin informacion,S/. 1 033.95,Sin informacion
Apple iPhone X 64GB/256GB - All Colours - Good Condition,Bueno (Restaurado),Sin informacion,S/. 1 043.24,Sin informacion
Apple iPhone X 64GB Space Gray Unlocked Good Condition,Bueno (Restaurado),250 valoraciones del artículo - Apple iPhone X 64GB Space Gray Unlocked Good Condition,S/. 970.56,Vendedor Excelente
Apple iPhone X - 64GB - Silver (Unlocked) A1865 (CDMA + GSM),De segunda mano,222 valoraciones del artículo - Apple iPhone X - 64GB - Silver (Unlocked) A1865 (CDMA + GSM),S/. 801.71,Sin informacion
Apple iPhone X XS XR XS max iphone 10r - 64GB 128GB 256GB (Unlocked) GRADEs,De segunda mano,Sin informacion,S/. 989.04 a S/. 1 393.64,Vendedor Excelente
Apple iPhone X 64GB Silver Unlocked Good Condition,Bueno (Restaurado),222 valoraciones del artículo - Apple iPhone X 64GB Silver Unlocked Good Condition,S/. 970.56,Vendedor Excelente
Apple iPhone 7 32GB Black Unlocked Sim Free A1778 GOOD CONDITION GRADE B/C 507,De segunda mano,585 valoraciones del artículo - Apple iPhone 7 32GB Black Unlocked Sim Free A1778 GOOD CONDITION GRADE B/C 507,S/. 404.56,Sin informacion
"IPHONE X 64GB SILVER, ENVIO DESDE ESPAÑA, GARANTIA.",Restaurados,Sin informacion,S/. 611.32,Vendedor Excelente
Apple iPhone X 64GB/256GB Various Colours Unlocked Smartphone Brand New Sealed,Totalmente nuevo,18 valoraciones del artículo - Apple iPhone X 64GB/256GB Various Colours Unlocked Smartphone Brand New Sealed,S/. 1 344.19,Sin informacion
Full Cover TEMPERED Glass For iPhone 11 12 13 PRO XS MAX XR 7 8 Screen Protector,Totalmente nuevo,Sin informacion,S/. 26.93,Vendedor Excelente
Apple iPhone X / XR / XS / XS max 64GB 128GB 256GB - Unlocked sim free GRADED,Nuevo (otro),Sin informacion,S/. 989.04 a S/. 1 191.34,Sin informacion
Apple iPhone 8 Plus - 128 GB - Silver (Unlocked) A1897 (GSM),De segunda mano,Sin informacion,S/. 786.36,Sin informacion
Apple iPhone X 256GB Silver Unlocked Good Condition,Bueno (Restaurado),Sin informacion,S/. 1 032.68,Vendedor Excelente
"Apple iPhone X 256gb (Unlocked, Sprint) Space Gray",De segunda mano,"342 valoraciones del artículo - Apple iPhone X 256gb (Unlocked, Sprint) Space Gray",S/. 892.91,Sin informacion
Apple MQAD2B/A iPhone X 64GB Unlocked Smartphone - Silver,De segunda mano,302 valoraciones del artículo - Apple MQAD2B/A iPhone X 64GB Unlocked Smartphone - Silver,S/. 674.34,Sin informacion
Apple iPhone X 64GB/256GB -All Colours- Unlocked Smartphone -Excellent -Grade A ,Excelente (Restaurado),8 valoraciones del artículo - Apple iPhone X 64GB/256GB -All Colours- Unlocked Smartphone -Excellent -Grade A ,S/. 1 033.95 a S/. 1 303.68,Sin informacion
iphone x 64gb usato,De segunda mano,Sin informacion,S/. 659.84,Sin informacion
Apple iPhone X ** 256GB ** Space Gray ** Unlocked ** WORKS PERFECTLY FINE,De segunda mano,5 valoraciones del artículo - Apple iPhone X ** 256GB ** Space Gray ** Unlocked ** WORKS PERFECTLY FINE,S/. 747.36,Sin informacion
Apple iPhone X 64GB/256GB - All Colours - Good Condition,Bueno (Restaurado),Sin informacion,S/. 1 043.24,Vendedor Excelente
Apple iPhone X 64GB silber und space grau Zustand gut,Bueno (Restaurado),2 valoraciones del artículo - Apple iPhone X 64GB silber und space grau Zustand gut,S/. 989.76,Sin informacion
Anuncio nuevoApple iPhone X - 256GB - Space Gray (Unlocked) A1865 (CDMA + GSM),De segunda mano,299 valoraciones del artículo - Apple iPhone X - 256GB - Space Gray (Unlocked) A1865 (CDMA + GSM),S/. 698.83,Sin informacion
Apple iPhone X 64GB Factory Unlocked Phone - Very Good,De segunda mano,262 valoraciones del artículo - Apple iPhone X 64GB Factory Unlocked Phone - Very Good,S/. 768.71 a S/. 1 180.25,Sin informacion
Apple iPhone XR 64GB 128GB 256GB - Unlocked Smartphone - Excellent - Grade A ,Excelente (Restaurado),2 valoraciones del artículo - Apple iPhone XR 64GB 128GB 256GB - Unlocked Smartphone - Excellent - Grade A ,S/. 1 033.95 a S/. 1 483.51,Sin informacion
"Case For iPhone 11 12 13 PRO MAX Mini X, XR XS Shockproof Protective 360 Cover",Totalmente nuevo,Sin informacion,S/. 26.93,Sin informacion
Apple iPhone 11 PRO 64GB 256GB 512GB (UNLOCKED) ⚫🟢🟠 ✅1 YEAR WARRANTY✅❖SEALED❖,Totalmente nuevo,2 valoraciones del artículo - Apple iPhone 11 PRO 64GB 256GB 512GB (UNLOCKED) ⚫🟢🟠 ✅1 YEAR WARRANTY✅❖SEALED❖,S/. 2 170.06 a S/. 2 208.89,Vendedor Excelente
Case For iPhone 11 Pro Max XS X 8 7  SE 2022  Shockproof Silicone Cover colours,Totalmente nuevo,Sin informacion,S/. 17.94,Sin informacion
Apple iPhone X - 256GB - Space Gray (Unlocked) A1865 (CDMA + GSM),Caja abierta,299 valoraciones del artículo - Apple iPhone X - 256GB - Space Gray (Unlocked) A1865 (CDMA + GSM),S/. 1 110.17,Sin informacion
Apple iPhone X - 64GB - Silver (Unlocked) A1865 (CDMA + GSM),De segunda mano,222 valoraciones del artículo - Apple iPhone X - 64GB - Silver (Unlocked) A1865 (CDMA + GSM),S/. 810.99,Sin informacion
IPHONE X RICONDIZIONATO BUONO 64-256GB APPLE USATO RIGENERATO,Bueno (Restaurado),Sin informacion,S/. 1 047.60,Vendedor Excelente
Apple iPhone X - 64GB - Grigio Siderale (Sbloccato),De segunda mano,Sin informacion,S/. 679.25,Sin informacion
Apple iPhone X 256GB Space Gray AT&T Good Condition,Bueno (Restaurado),201 valoraciones del artículo - Apple iPhone X 256GB Space Gray AT&T Good Condition,S/. 1 048.21,Vendedor Excelente
Apple iPhone X - 64GB - Space Gray (Unlocked) A1865 (CDMA + GSM),De segunda mano,319 valoraciones del artículo - Apple iPhone X - 64GB - Space Gray (Unlocked) A1865 (CDMA + GSM),S/. 471.71,Sin informacion
Apple iPhone X 64GB Space Gray Unlocked Very Good Condition,Muy bueno (Restaurado),319 valoraciones del artículo - Apple iPhone X 64GB Space Gray Unlocked Very Good Condition,S/. 1 048.21,Vendedor Excelente
New Apple iPhone 7 32GB Black Grade A Plus Pristine Condition Unlocked-Apple Box,Nuevo (otro),20 valoraciones del artículo - New Apple iPhone 7 32GB Black Grade A Plus Pristine Condition Unlocked-Apple Box,S/. 538.98,Sin informacion
New Unlocked Apple iPhone X 10 64GB 256GB Black White Au Seller FREE EXPRESS ,Nuevo (otro),Sin informacion,S/. 1 150.71 a S/. 1 255.55,Vendedor Excelente
IPHONE X MOLTO BUONO 64-GB,De segunda mano,Sin informacion,S/. 621.03,Sin informacion
Apple iPhone 8 - 64GB - Gold (Unlocked) A1863 (CDMA + GSM) (AU Stock),De segunda mano,41 valoraciones del artículo - Apple iPhone 8 - 64GB - Gold (Unlocked) A1863 (CDMA + GSM) (AU Stock),S/. 342.07,Sin informacion
IPHONE X RICONDIZIONATO 64 256GB BUONO GRAY BIA ECONOMICO RIGENERATO NO Face ID,Bueno (Restaurado),Sin informacion,S/. 927.66 a S/. 1 082.92,Sin informacion
iphone x 64gb,De segunda mano,Sin informacion,S/. 659.84,Sin informacion
Apple iPhone 7 32GB Matte Black Unlocked Excellent Condition,Excelente (Restaurado),158 valoraciones del artículo - Apple iPhone 7 32GB Matte Black Unlocked Excellent Condition,S/. 543.50,Vendedor Excelente
Apple iPhone X - 64GB - Silver (Fully Unlocked) Good Condition,De segunda mano,21 valoraciones del artículo - Apple iPhone X - 64GB - Silver (Fully Unlocked) Good Condition,S/. 737.62,Sin informacion
Apple iPhone X 64GB | 256GB (UNLOCKED) Gray ║ Silver ,De segunda mano,30 valoraciones del artículo - Apple iPhone X 64GB | 256GB (UNLOCKED) Gray ║ Silver ,S/. 698.83 a S/. 1 265.66,Sin informacion
Apple iPhone X 256GB Silver Unlocked Excellent Condition,Excelente (Restaurado),194 valoraciones del artículo - Apple iPhone X 256GB Silver Unlocked Excellent Condition,S/. 1 230.68,Vendedor Excelente
iPhone X 64GB,De segunda mano,Sin informacion,S/. 718.06,Sin informacion
Anuncio nuevoApple iPhone 7 32GB & 128GB Grade A++ iOS 4G LTE Unlocked - Pristine Condition,Excelente (Restaurado),6 valoraciones del artículo - Apple iPhone 7 32GB & 128GB Grade A++ iOS 4G LTE Unlocked - Pristine Condition,S/. 449.52,Vendedor Excelente
Apple iPhone 8 Plus - 64GB - Silver (Unlocked),De segunda mano,21 valoraciones del artículo - Apple iPhone 8 Plus - 64GB - Silver (Unlocked),S/. 609.43,Sin informacion
IPHONE X RICONDIZIONATO 64 256GB ECCELLENTE BIANCO NERO GARANZIA RIGENERATO,Excelente (Restaurado),Sin informacion,S/. 1 203.24 a S/. 1 358.50,Sin informacion
Apple iPhone X (64gb) World Unlocked (A1901) Space Grey {iOS15}78% No Face-ID,De segunda mano,250 valoraciones del artículo - Apple iPhone X (64gb) World Unlocked (A1901) Space Grey {iOS15}78% No Face-ID,S/. 912.36,Sin informacion
Apple iPhone X/64GB/Space Gray (Sprint) Comes W Charger/ Lifeproof Case Unlocked,De segunda mano,5 valoraciones del artículo - Apple iPhone X/64GB/Space Gray (Sprint) Comes W Charger/ Lifeproof Case Unlocked,S/. 679.42,Sin informacion
Apple iPhone 12 Pro Max 128/256/512 AT&T Sprint T-Mobile Unlocked VZW Excellent,Excelente (Restaurado),2 valoraciones del artículo - Apple iPhone 12 Pro Max 128/256/512 AT&T Sprint T-Mobile Unlocked VZW Excellent,S/. 2 678.81 a S/. 3 234.00,Vendedor Excelente
Anuncio nuevoApple iPhone XS 512GB GOLD A1920 Unlocked Excellent Condition ,De segunda mano,2 valoraciones del artículo - Apple iPhone XS 512GB GOLD A1920 Unlocked Excellent Condition ,S/. 1 552.92,Sin informacion
Apple iPhone X - 64GB - Silver (Xfinity) A1865 (CDMA + GSM),De segunda mano,7 valoraciones del artículo - Apple iPhone X - 64GB - Silver (Xfinity) A1865 (CDMA + GSM),S/. 582.36,Sin informacion
Apple iPhone X - 64GB ,Para repuestos solamente,Sin informacion,S/. 359.03,Sin informacion
New Apple iPhone X 10 64GB 256GB  Factory Unlocked Sealed AU SELLER FREE EXPRESS,Totalmente nuevo,Sin informacion,S/. 1 281.77 a S/. 1 465.25,Vendedor Excelente
Gorilla Tempered Glass Screen Protector for iPhone 11 Pro X XR XS Max 8 14 2022,Totalmente nuevo,Sin informacion,S/. 15.69 a S/. 22.43,Sin informacion
Apple iPhone X (iPhone 10) 64GB 256GB All Colours Unlocked- Excellent Grade A,Excelente (Restaurado),8 valoraciones del artículo - Apple iPhone X (iPhone 10) 64GB 256GB All Colours Unlocked- Excellent Grade A,S/. 1 123.86 a S/. 1 258.73,Sin informacion
Anuncio nuevoIphone X 64GB Silver Unlocked,De segunda mano,262 valoraciones del artículo - Iphone X 64GB Silver Unlocked,S/. 397.95,Sin informacion
Apple iPhone X 256GB Space Gray Unlocked Good Condition,Bueno (Restaurado),299 valoraciones del artículo - Apple iPhone X 256GB Space Gray Unlocked Good Condition,S/. 1 032.68,Vendedor Excelente
Apple iPhone X 256GB Space Grey Unlocked Sim Free A190 GOOD CONDITION 890,De segunda mano,260 valoraciones del artículo - Apple iPhone X 256GB Space Grey Unlocked Sim Free A190 GOOD CONDITION 890,S/. 1 033.95,Sin informacion
Apple iphone x,Para repuestos solamente,Sin informacion,S/. 174.71,Sin informacion
Apple iPhone X - 64GB - Space Grey (Unlocked) Cracked Screen,De segunda mano,450 valoraciones del artículo - Apple iPhone X - 64GB - Space Grey (Unlocked) Cracked Screen,S/. 548.47,Sin informacion
Apple iPhone X (iPhone 10) 64GB 256GB All Colours Unlocked- Excellent Grade A,Excelente (Restaurado),Sin informacion,S/. 1 258.73,Sin informacion
Apple iPhone X 64GB Factory Unlocked AT&T T-Mobile Smartphone - Good,Bueno (Restaurado),Sin informacion,S/. 924.01,Sin informacion
Apple iPhone X 256GB Space Gray Unlocked Good Condition,Bueno (Restaurado),Sin informacion,S/. 1 032.68,Sin informacion
Apple iPhone X 64GB Space Gray Unlocked Good Condition,Bueno (Restaurado),Sin informacion,S/. 970.56,Sin informacion
Apple iPhone X 64GB Silver Unlocked Good Condition,Bueno (Restaurado),Sin informacion,S/. 970.56,Sin informacion
Apple iPhone X 256GB Silver Unlocked Good Condition,Bueno (Restaurado),Sin informacion,S/. 1 032.68,Sin informacion
Apple iPhone X 64GB/256GB -All Colours- Unlocked Smartphone -Excellent -Grade A ,Excelente (Restaurado),Sin informacion,S/. 1 033.95,Sin informacion
Apple iPhone X 64GB/256GB - All Colours - Good Condition,Bueno (Restaurado),Sin informacion,S/. 1 043.24,Sin informacion
Apple iPhone X 64GB Space Gray Unlocked Good Condition,Bueno (Restaurado),250 valoraciones del artículo - Apple iPhone X 64GB Space Gray Unlocked Good Condition,S/. 970.56,Vendedor Excelente
